nGroups,groupSize,whichGroup,testFrom,testTo,esspi,mean
2,3,0,0,0,1.318753,0.391000
2,3,0,0,1,1.088272,0.534500
2,3,0,0,2,0.779715,0.074500
2,3,0,1,0,0.671326,0.019500
2,3,0,1,1,0.484210,0.107500
2,3,0,1,2,0.514160,0.873000
2,3,0,2,0,1.244514,0.589500
2,3,0,2,1,0.977239,0.358000
2,3,0,2,2,0.826934,0.052500
2,3,1,0,0,1.244514,0.589500
2,3,1,0,1,0.977239,0.358000
2,3,1,0,2,0.826934,0.052500
2,3,1,1,0,0.956874,0.346000
2,3,1,1,1,0.837275,0.342500
2,3,1,1,2,1.013521,0.311500
2,3,1,2,0,0.739261,0.323500
2,3,1,2,1,0.953770,0.328500
2,3,1,2,2,0.884782,0.348000
2,4,0,0,0,1.024656,0.000500
2,4,0,0,1,0.725753,0.013500
2,4,0,0,2,0.403167,0.977000
2,4,0,0,3,0.513918,0.009000
2,4,0,1,0,0.634780,0.268000
2,4,0,1,1,0.697800,0.723500
2,4,0,1,2,0.821230,0.008500
2,4,0,1,3,NaN,0.000000
2,4,0,2,0,0.629136,0.731500
2,4,0,2,1,0.633646,0.262500
2,4,0,2,2,0.766326,0.005500
2,4,0,2,3,1.024656,0.000500
2,4,0,3,0,NaN,0.000000
2,4,0,3,1,1.024656,0.000500
2,4,0,3,2,0.399204,0.009000
2,4,0,3,3,0.409055,0.990500
2,4,1,0,0,0.629136,0.731500
2,4,1,0,1,0.633646,0.262500
2,4,1,0,2,0.766326,0.005500
2,4,1,0,3,1.024656,0.000500
2,4,1,1,0,NaN,0.000000
2,4,1,1,1,1.024656,0.000500
2,4,1,1,2,0.399204,0.009000
2,4,1,1,3,0.409055,0.990500
2,4,1,2,0,NaN,0.000000
2,4,1,2,1,1.047974,0.001000
2,4,1,2,2,0.787019,0.021500
2,4,1,2,3,0.763045,0.977500
2,4,1,3,0,1.072402,0.001500
2,4,1,3,1,0.735646,0.013000
2,4,1,3,2,0.624290,0.964500
2,4,1,3,3,0.849278,0.021000
2,5,0,0,0,0.573827,0.067000
2,5,0,0,1,0.548407,0.908500
2,5,0,0,2,0.419100,0.022000
2,5,0,0,3,0.478690,0.002500
2,5,0,0,4,NaN,0.000000
2,5,0,1,0,1.024656,0.000500
2,5,0,1,1,0.616460,0.015500
2,5,0,1,2,0.835694,0.592000
2,5,0,1,3,0.823758,0.377500
2,5,0,1,4,0.710914,0.014500
2,5,0,2,0,NaN,0.000000
2,5,0,2,1,1.024656,0.000500
2,5,0,2,2,0.899458,0.009500
2,5,0,2,3,0.526575,0.048500
2,5,0,2,4,0.496724,0.941500
2,5,0,3,0,0.572299,0.932500
2,5,0,3,1,0.587266,0.066000
2,5,0,3,2,1.072402,0.001500
2,5,0,3,3,NaN,0.000000
2,5,0,3,4,NaN,0.000000
2,5,0,4,0,NaN,0.000000
2,5,0,4,1,0.651142,0.009500
2,5,0,4,2,0.990314,0.375000
2,5,0,4,3,0.829092,0.571500
2,5,0,4,4,0.594901,0.044000
2,5,1,0,0,NaN,0.000000
2,5,1,0,1,1.024656,0.000500
2,5,1,0,2,0.899458,0.009500
2,5,1,0,3,0.526575,0.048500
2,5,1,0,4,0.496724,0.941500
2,5,1,1,0,0.572299,0.932500
2,5,1,1,1,0.587266,0.066000
2,5,1,1,2,1.072402,0.001500
2,5,1,1,3,NaN,0.000000
2,5,1,1,4,NaN,0.000000
2,5,1,2,0,NaN,0.000000
2,5,1,2,1,0.651142,0.009500
2,5,1,2,2,0.990314,0.375000
2,5,1,2,3,0.829092,0.571500
2,5,1,2,4,0.594901,0.044000
2,5,1,3,0,0.512078,0.001000
2,5,1,3,1,0.904385,0.018000
2,5,1,3,2,1.164769,0.448000
2,5,1,3,3,1.152760,0.501500
2,5,1,3,4,0.974669,0.031500
2,5,1,4,0,0.408502,0.977500
2,5,1,4,1,0.375744,0.022500
2,5,1,4,2,NaN,0.000000
2,5,1,4,3,NaN,0.000000
2,5,1,4,4,NaN,0.000000
2,6,0,0,0,1.047974,0.001000
2,6,0,0,1,1.318140,0.030500
2,6,0,0,2,1.074511,0.915500
2,6,0,0,3,0.797335,0.052500
2,6,0,0,4,1.024656,0.000500
2,6,0,0,5,NaN,0.000000
2,6,0,1,0,0.400698,0.969000
2,6,0,1,1,0.405477,0.030500
2,6,0,1,2,NaN,0.000000
2,6,0,1,3,1.024656,0.000500
2,6,0,1,4,NaN,0.000000
2,6,0,1,5,NaN,0.000000
2,6,0,2,0,0.463353,0.030000
2,6,0,2,1,0.813496,0.936000
2,6,0,2,2,1.110919,0.033000
2,6,0,2,3,1.047974,0.001000
2,6,0,2,4,NaN,0.000000
2,6,0,2,5,NaN,0.000000
2,6,0,3,0,NaN,0.000000
2,6,0,3,1,0.535415,0.003000
2,6,0,3,2,0.785613,0.051500
2,6,0,3,3,1.021004,0.941000
2,6,0,3,4,1.214348,0.004000
2,6,0,3,5,1.024656,0.000500
2,6,0,4,0,NaN,0.000000
2,6,0,4,1,NaN,0.000000
2,6,0,4,2,NaN,0.000000
2,6,0,4,3,NaN,0.000000
2,6,0,4,4,0.570823,0.127000
2,6,0,4,5,0.561055,0.873000
2,6,0,5,0,NaN,0.000000
2,6,0,5,1,NaN,0.000000
2,6,0,5,2,NaN,0.000000
2,6,0,5,3,1.282482,0.005000
2,6,0,5,4,0.582071,0.868500
2,6,0,5,5,0.580310,0.126500
2,6,1,0,0,0.463353,0.030000
2,6,1,0,1,0.813496,0.936000
2,6,1,0,2,1.110919,0.033000
2,6,1,0,3,1.047974,0.001000
2,6,1,0,4,NaN,0.000000
2,6,1,0,5,NaN,0.000000
2,6,1,1,0,NaN,0.000000
2,6,1,1,1,0.535415,0.003000
2,6,1,1,2,0.785613,0.051500
2,6,1,1,3,1.021004,0.941000
2,6,1,1,4,1.214348,0.004000
2,6,1,1,5,1.024656,0.000500
2,6,1,2,0,NaN,0.000000
2,6,1,2,1,NaN,0.000000
2,6,1,2,2,NaN,0.000000
2,6,1,2,3,NaN,0.000000
2,6,1,2,4,0.570823,0.127000
2,6,1,2,5,0.561055,0.873000
2,6,1,3,0,NaN,0.000000
2,6,1,3,1,NaN,0.000000
2,6,1,3,2,NaN,0.000000
2,6,1,3,3,1.282482,0.005000
2,6,1,3,4,0.582071,0.868500
2,6,1,3,5,0.580310,0.126500
2,6,1,4,0,NaN,0.000000
2,6,1,4,1,0.432171,0.007500
2,6,1,4,2,1.009927,0.740500
2,6,1,4,3,1.098554,0.251500
2,6,1,4,4,1.024656,0.000500
2,6,1,4,5,NaN,0.000000
2,6,1,5,0,0.543144,0.092500
2,6,1,5,1,0.599549,0.899500
2,6,1,5,2,0.433099,0.008000
2,6,1,5,3,NaN,0.000000
2,6,1,5,4,NaN,0.000000
2,6,1,5,5,NaN,0.000000
2,7,0,0,0,0.186933,0.987500
2,7,0,0,1,0.180853,0.010500
2,7,0,0,2,0.414921,0.002000
2,7,0,0,3,NaN,0.000000
2,7,0,0,4,NaN,0.000000
2,7,0,0,5,NaN,0.000000
2,7,0,0,6,NaN,0.000000
2,7,0,1,0,0.232869,0.009000
2,7,0,1,1,0.332873,0.881000
2,7,0,1,2,0.344447,0.098500
2,7,0,1,3,0.360217,0.010000
2,7,0,1,4,1.072402,0.001500
2,7,0,1,5,NaN,0.000000
2,7,0,1,6,NaN,0.000000
2,7,0,2,0,NaN,0.000000
2,7,0,2,1,0.775808,0.002500
2,7,0,2,2,0.412663,0.028000
2,7,0,2,3,0.309158,0.513000
2,7,0,2,4,0.322240,0.338000
2,7,0,2,5,0.530173,0.112000
2,7,0,2,6,0.750865,0.006500
2,7,0,3,0,NaN,0.000000
2,7,0,3,1,NaN,0.000000
2,7,0,3,2,NaN,0.000000
2,7,0,3,3,0.534933,0.010000
2,7,0,3,4,0.543741,0.018000
2,7,0,3,5,0.436004,0.055500
2,7,0,3,6,0.387503,0.916500
2,7,0,4,0,0.390410,0.003500
2,7,0,4,1,0.409407,0.098500
2,7,0,4,2,0.347319,0.849000
2,7,0,4,3,0.306286,0.043000
2,7,0,4,4,0.482181,0.006000
2,7,0,4,5,NaN,0.000000
2,7,0,4,6,NaN,0.000000
2,7,0,5,0,NaN,0.000000
2,7,0,5,1,0.705538,0.003500
2,7,0,5,2,0.602120,0.012500
2,7,0,5,3,0.435989,0.242500
2,7,0,5,4,0.597274,0.328000
2,7,0,5,5,0.735847,0.382500
2,7,0,5,6,0.845847,0.031000
2,7,0,6,0,NaN,0.000000
2,7,0,6,1,0.429961,0.004000
2,7,0,6,2,0.732244,0.010000
2,7,0,6,3,0.655822,0.181500
2,7,0,6,4,0.792377,0.308500
2,7,0,6,5,0.749179,0.450000
