nGroups,groupSize,whichGroup,testFrom,testTo,esspi,mean
2,3,0,0,0,1.754171,0.403000
2,3,0,0,1,1.018514,0.522500
2,3,0,0,2,0.686797,0.074500
2,3,0,1,0,0.720407,0.019000
2,3,0,1,1,0.496269,0.118000
2,3,0,1,2,0.543357,0.863000
2,3,0,2,0,1.993491,0.578000
2,3,0,2,1,1.273082,0.359500
2,3,0,2,2,0.590887,0.062500
2,3,1,0,0,1.993491,0.578000
2,3,1,0,1,1.273082,0.359500
2,3,1,0,2,0.590887,0.062500
2,3,1,1,0,1.094222,0.359000
2,3,1,1,1,1.192006,0.347000
2,3,1,1,2,1.554117,0.294000
2,3,1,2,0,0.844611,0.315000
2,3,1,2,1,1.036351,0.321500
2,3,1,2,2,1.003505,0.363500
2,4,0,0,0,1.024656,0.000500
2,4,0,0,1,0.222042,0.009500
2,4,0,0,2,0.280389,0.970500
2,4,0,0,3,0.306302,0.019500
2,4,0,1,0,0.728559,0.238000
2,4,0,1,1,0.700574,0.756500
2,4,0,1,2,0.387373,0.005500
2,4,0,1,3,NaN,0.000000
2,4,0,2,0,0.709341,0.761500
2,4,0,2,1,0.686472,0.233500
2,4,0,2,2,0.458029,0.005000
2,4,0,2,3,NaN,0.000000
2,4,0,3,0,NaN,0.000000
2,4,0,3,1,1.024656,0.000500
2,4,0,3,2,0.306652,0.019000
2,4,0,3,3,0.298592,0.980500
2,4,1,0,0,0.709341,0.761500
2,4,1,0,1,0.686472,0.233500
2,4,1,0,2,0.458029,0.005000
2,4,1,0,3,NaN,0.000000
2,4,1,1,0,NaN,0.000000
2,4,1,1,1,1.024656,0.000500
2,4,1,1,2,0.306652,0.019000
2,4,1,1,3,0.298592,0.980500
2,4,1,2,0,NaN,0.000000
2,4,1,2,1,NaN,0.000000
2,4,1,2,2,0.668437,0.022500
2,4,1,2,3,0.651563,0.977500
2,4,1,3,0,1.072402,0.001500
2,4,1,3,1,0.274363,0.015000
2,4,1,3,2,0.440064,0.963000
2,4,1,3,3,0.613541,0.020500
2,5,0,0,0,0.422019,0.090000
2,5,0,0,1,0.310689,0.894000
2,5,0,0,2,0.242973,0.012500
2,5,0,0,3,0.269871,0.003500
2,5,0,0,4,NaN,0.000000
2,5,0,1,0,1.047974,0.001000
2,5,0,1,1,0.183230,0.009500
2,5,0,1,2,0.695775,0.563500
2,5,0,1,3,0.810702,0.408000
2,5,0,1,4,0.784334,0.018000
2,5,0,2,0,1.024656,0.000500
2,5,0,2,1,1.024656,0.000500
2,5,0,2,2,0.479267,0.017500
2,5,0,2,3,0.577747,0.041000
2,5,0,2,4,0.420517,0.940500
2,5,0,3,0,0.435996,0.907500
2,5,0,3,1,0.417872,0.089000
2,5,0,3,2,0.535415,0.003000
2,5,0,3,3,1.024656,0.000500
2,5,0,3,4,NaN,0.000000
2,5,0,4,0,1.047974,0.001000
2,5,0,4,1,0.273498,0.007000
2,5,0,4,2,0.979096,0.403500
2,5,0,4,3,0.697291,0.547000
2,5,0,4,4,0.556256,0.041500
2,5,1,0,0,1.024656,0.000500
2,5,1,0,1,1.024656,0.000500
2,5,1,0,2,0.479267,0.017500
2,5,1,0,3,0.577747,0.041000
2,5,1,0,4,0.420517,0.940500
2,5,1,1,0,0.435996,0.907500
2,5,1,1,1,0.417872,0.089000
2,5,1,1,2,0.535415,0.003000
2,5,1,1,3,1.024656,0.000500
2,5,1,1,4,NaN,0.000000
2,5,1,2,0,1.047974,0.001000
2,5,1,2,1,0.273498,0.007000
2,5,1,2,2,0.979096,0.403500
2,5,1,2,3,0.697291,0.547000
2,5,1,2,4,0.556256,0.041500
2,5,1,3,0,1.098021,0.002000
2,5,1,3,1,0.396701,0.016000
2,5,1,3,2,0.625246,0.450000
2,5,1,3,3,0.702094,0.506500
2,5,1,3,4,0.727931,0.025500
2,5,1,4,0,0.238535,0.962000
2,5,1,4,1,0.234503,0.035500
2,5,1,4,2,1.124922,0.002500
2,5,1,4,3,NaN,0.000000
2,5,1,4,4,NaN,0.000000
2,6,0,0,0,1.024656,0.000500
2,6,0,0,1,0.690198,0.039500
2,6,0,0,2,0.498614,0.915500
2,6,0,0,3,0.457489,0.043500
2,6,0,0,4,1.047974,0.001000
2,6,0,0,5,NaN,0.000000
2,6,0,1,0,0.832662,0.973500
2,6,0,1,1,0.854316,0.026500
2,6,0,1,2,NaN,0.000000
2,6,0,1,3,NaN,0.000000
2,6,0,1,4,NaN,0.000000
2,6,0,1,5,NaN,0.000000
2,6,0,2,0,0.877233,0.026000
2,6,0,2,1,0.946333,0.931000
2,6,0,2,2,0.703508,0.041500
2,6,0,2,3,1.072402,0.001500
2,6,0,2,4,NaN,0.000000
2,6,0,2,5,NaN,0.000000
2,6,0,3,0,NaN,0.000000
2,6,0,3,1,0.673291,0.003000
2,6,0,3,2,0.556451,0.042500
2,6,0,3,3,0.578625,0.948500
2,6,0,3,4,1.063607,0.005500
2,6,0,3,5,1.024656,0.000500
2,6,0,4,0,NaN,0.000000
2,6,0,4,1,NaN,0.000000
2,6,0,4,2,NaN,0.000000
2,6,0,4,3,1.024656,0.000500
2,6,0,4,4,0.451042,0.112000
2,6,0,4,5,0.446450,0.887500
2,6,0,5,0,NaN,0.000000
2,6,0,5,1,NaN,0.000000
2,6,0,5,2,1.024656,0.000500
2,6,0,5,3,0.934227,0.006000
2,6,0,5,4,0.473479,0.881500
2,6,0,5,5,0.446999,0.112000
2,6,1,0,0,0.877233,0.026000
2,6,1,0,1,0.946333,0.931000
2,6,1,0,2,0.703508,0.041500
2,6,1,0,3,1.072402,0.001500
2,6,1,0,4,NaN,0.000000
2,6,1,0,5,NaN,0.000000
2,6,1,1,0,NaN,0.000000
2,6,1,1,1,0.673291,0.003000
2,6,1,1,2,0.556451,0.042500
2,6,1,1,3,0.578625,0.948500
2,6,1,1,4,1.063607,0.005500
2,6,1,1,5,1.024656,0.000500
2,6,1,2,0,NaN,0.000000
2,6,1,2,1,NaN,0.000000
