nGroups,groupSize,whichGroup,testFrom,testTo,esspi,mean
2,3,0,0,0,0.990026,0.386000
2,3,0,0,1,1.116130,0.542500
2,3,0,0,2,0.840864,0.071500
2,3,0,1,0,0.847788,0.016000
2,3,0,1,1,0.630128,0.109000
2,3,0,1,2,0.546777,0.875000
2,3,0,2,0,1.005694,0.598000
2,3,0,2,1,0.966305,0.348500
2,3,0,2,2,0.684199,0.053500
2,3,1,0,0,1.005694,0.598000
2,3,1,0,1,0.966305,0.348500
2,3,1,0,2,0.684199,0.053500
2,3,1,1,0,1.073262,0.357000
2,3,1,1,1,1.138667,0.350000
2,3,1,1,2,1.139806,0.293000
2,3,1,2,0,0.863668,0.305000
2,3,1,2,1,1.277498,0.317000
2,3,1,2,2,1.079343,0.378000
2,4,0,0,0,1.047974,0.001000
2,4,0,0,1,0.396453,0.012000
2,4,0,0,2,0.377908,0.971000
2,4,0,0,3,0.361918,0.016000
2,4,0,1,0,0.610030,0.272000
2,4,0,1,1,0.614993,0.720500
2,4,0,1,2,0.866939,0.007500
2,4,0,1,3,NaN,0.000000
2,4,0,2,0,0.618249,0.727000
2,4,0,2,1,0.652335,0.267500
2,4,0,2,2,0.561086,0.005000
2,4,0,2,3,1.024656,0.000500
2,4,0,3,0,NaN,0.000000
2,4,0,3,1,NaN,0.000000
2,4,0,3,2,0.350711,0.016500
2,4,0,3,3,0.341910,0.983500
2,4,1,0,0,0.618249,0.727000
2,4,1,0,1,0.652335,0.267500
2,4,1,0,2,0.561086,0.005000
2,4,1,0,3,1.024656,0.000500
2,4,1,1,0,NaN,0.000000
2,4,1,1,1,NaN,0.000000
2,4,1,1,2,0.350711,0.016500
2,4,1,1,3,0.341910,0.983500
2,4,1,2,0,NaN,0.000000
2,4,1,2,1,NaN,0.000000
2,4,1,2,2,0.675261,0.020500
2,4,1,2,3,0.658247,0.979500
2,4,1,3,0,0.625568,0.001500
2,4,1,3,1,0.482840,0.020500
2,4,1,3,2,0.540046,0.958500
2,4,1,3,3,0.779452,0.019500
2,5,0,0,0,0.882510,0.077500
2,5,0,0,1,0.562227,0.906000
2,5,0,0,2,0.499259,0.016000
2,5,0,0,3,1.024656,0.000500
2,5,0,0,4,NaN,0.000000
2,5,0,1,0,1.047974,0.001000
2,5,0,1,1,0.685709,0.011500
2,5,0,1,2,0.865952,0.584500
2,5,0,1,3,0.776611,0.381500
2,5,0,1,4,0.845466,0.021500
2,5,0,2,0,NaN,0.000000
2,5,0,2,1,NaN,0.000000
2,5,0,2,2,0.644158,0.015000
2,5,0,2,3,0.992218,0.055000
2,5,0,2,4,0.976593,0.930000
2,5,0,3,0,0.858638,0.920000
2,5,0,3,1,0.895176,0.076500
2,5,0,3,2,0.705538,0.003500
2,5,0,3,3,NaN,0.000000
2,5,0,3,4,NaN,0.000000
2,5,0,4,0,1.072402,0.001500
2,5,0,4,1,0.711792,0.006000
2,5,0,4,2,1.024227,0.381000
2,5,0,4,3,0.953005,0.563000
2,5,0,4,4,1.478994,0.048500
2,5,1,0,0,NaN,0.000000
2,5,1,0,1,NaN,0.000000
2,5,1,0,2,0.644158,0.015000
2,5,1,0,3,0.992218,0.055000
2,5,1,0,4,0.976593,0.930000
