nGroups,groupSize,whichGroup,testFrom,testTo,esspi,mean
2,3,0,0,0,0.789886,0.394500
2,3,0,0,1,0.644058,0.528500
2,3,0,0,2,0.717524,0.077000
2,3,0,1,0,0.749004,0.019500
2,3,0,1,1,0.550878,0.112000
2,3,0,1,2,0.582071,0.868500
2,3,0,2,0,0.688935,0.586000
2,3,0,2,1,0.666930,0.359500
2,3,0,2,2,0.722745,0.054500
2,3,1,0,0,0.688935,0.586000
2,3,1,0,1,0.666930,0.359500
2,3,1,0,2,0.722745,0.054500
2,3,1,1,0,0.815055,0.368500
2,3,1,1,1,0.961565,0.334000
2,3,1,1,2,1.025644,0.297500
2,3,1,2,0,1.023919,0.308500
2,3,1,2,1,1.310408,0.330500
2,3,1,2,2,1.050298,0.361000
2,4,0,0,0,0.708959,0.002000
2,4,0,0,1,0.533058,0.007500
2,4,0,0,2,0.353900,0.974000
2,4,0,0,3,0.329413,0.016500
2,4,0,1,0,0.700127,0.261000
2,4,0,1,1,0.682016,0.734500
2,4,0,1,2,0.590906,0.004500
2,4,0,1,3,NaN,0.000000
2,4,0,2,0,0.710525,0.737000
2,4,0,2,1,0.731818,0.258000
2,4,0,2,2,0.632210,0.005000
2,4,0,2,3,NaN,0.000000
2,4,0,3,0,NaN,0.000000
2,4,0,3,1,NaN,0.000000
2,4,0,3,2,0.329413,0.016500
2,4,0,3,3,0.321146,0.983500
2,4,1,0,0,0.710525,0.737000
2,4,1,0,1,0.731818,0.258000
2,4,1,0,2,0.632210,0.005000
2,4,1,0,3,NaN,0.000000
2,4,1,1,0,NaN,0.000000
2,4,1,1,1,NaN,0.000000
2,4,1,1,2,0.329413,0.016500
2,4,1,1,3,0.321146,0.983500
2,4,1,2,0,NaN,0.000000
2,4,1,2,1,1.024656,0.000500
2,4,1,2,2,0.434725,0.031500
2,4,1,2,3,0.390801,0.968000
2,4,1,3,0,1.047974,0.001000
2,4,1,3,1,0.747599,0.012500
2,4,1,3,2,0.391355,0.954500
2,4,1,3,3,0.401022,0.032000
2,5,0,0,0,0.390029,0.081500
2,5,0,0,1,0.352000,0.906000
2,5,0,0,2,0.606515,0.012000
2,5,0,0,3,1.024656,0.000500
2,5,0,0,4,NaN,0.000000
2,5,0,1,0,NaN,0.000000
2,5,0,1,1,0.826757,0.010500
2,5,0,1,2,0.814030,0.581000
2,5,0,1,3,0.708710,0.389000
2,5,0,1,4,0.694729,0.019500
2,5,0,2,0,NaN,0.000000
2,5,0,2,1,1.024656,0.000500
2,5,0,2,2,0.537875,0.017000
2,5,0,2,3,0.371744,0.049500
2,5,0,2,4,0.340665,0.933000
2,5,0,3,0,0.392410,0.918500
2,5,0,3,1,0.396668,0.079500
2,5,0,3,2,1.098021,0.002000
2,5,0,3,3,NaN,0.000000
2,5,0,3,4,NaN,0.000000
2,5,0,4,0,NaN,0.000000
2,5,0,4,1,0.587071,0.003500
2,5,0,4,2,0.689007,0.388000
2,5,0,4,3,0.741397,0.561000
2,5,0,4,4,0.425417,0.047500
2,5,1,0,0,NaN,0.000000
2,5,1,0,1,1.024656,0.000500
2,5,1,0,2,0.537875,0.017000
2,5,1,0,3,0.371744,0.049500
2,5,1,0,4,0.340665,0.933000
2,5,1,1,0,0.392410,0.918500
2,5,1,1,1,0.396668,0.079500
2,5,1,1,2,1.098021,0.002000
2,5,1,1,3,NaN,0.000000
2,5,1,1,4,NaN,0.000000
2,5,1,2,0,NaN,0.000000
2,5,1,2,1,0.587071,0.003500
2,5,1,2,2,0.689007,0.388000
2,5,1,2,3,0.741397,0.561000
2,5,1,2,4,0.425417,0.047500
2,5,1,3,0,NaN,0.000000
2,5,1,3,1,1.259775,0.009500
2,5,1,3,2,0.836022,0.482000
2,5,1,3,3,0.867758,0.478500
2,5,1,3,4,0.530750,0.030000
2,5,1,4,0,0.219982,0.963500
2,5,1,4,1,0.225762,0.036500
2,5,1,4,2,NaN,0.000000
2,5,1,4,3,NaN,0.000000
2,5,1,4,4,NaN,0.000000
2,6,0,0,0,1.072402,0.001500
2,6,0,0,1,0.559600,0.047000
2,6,0,0,2,0.382314,0.893000
2,6,0,0,3,0.510081,0.058500
2,6,0,0,4,NaN,0.000000
2,6,0,0,5,NaN,0.000000
2,6,0,1,0,0.479162,0.973000
2,6,0,1,1,0.494872,0.026500
2,6,0,1,2,1.024656,0.000500
2,6,0,1,3,NaN,0.000000
2,6,0,1,4,NaN,0.000000
2,6,0,1,5,NaN,0.000000
2,6,0,2,0,0.496692,0.025000
2,6,0,2,1,0.579763,0.926000
2,6,0,2,2,0.592035,0.047500
2,6,0,2,3,0.625568,0.001500
2,6,0,2,4,NaN,0.000000
2,6,0,2,5,NaN,0.000000
2,6,0,3,0,1.024656,0.000500
2,6,0,3,1,1.024656,0.000500
2,6,0,3,2,0.479140,0.058500
