nGroups,groupSize,whichGroup,testFrom,testTo,esspi,mean
2,3,0,0,0,1.043115,0.393000
2,3,0,0,1,0.930909,0.521000
2,3,0,0,2,0.751615,0.086000
2,3,0,1,0,0.849970,0.019500
2,3,0,1,1,0.645282,0.127000
2,3,0,1,2,0.647576,0.853500
2,3,0,2,0,0.994845,0.587500
2,3,0,2,1,0.999128,0.352000
2,3,0,2,2,0.604482,0.060500
2,3,1,0,0,0.994845,0.587500
2,3,1,0,1,0.999128,0.352000
2,3,1,0,2,0.604482,0.060500
2,3,1,1,0,0.875090,0.349000
2,3,1,1,1,0.931552,0.360500
2,3,1,1,2,0.806835,0.290500
2,3,1,2,0,1.099047,0.316000
2,3,1,2,1,0.926777,0.303000
2,3,1,2,2,1.122218,0.381000
2,4,0,0,0,1.024656,0.000500
2,4,0,0,1,0.273956,0.016500
2,4,0,0,2,0.210933,0.956000
2,4,0,0,3,0.178532,0.027000
2,4,0,1,0,0.643380,0.273500
2,4,0,1,1,0.597255,0.716500
2,4,0,1,2,0.347602,0.010000
2,4,0,1,3,NaN,0.000000
2,4,0,2,0,0.645855,0.726000
2,4,0,2,1,0.657355,0.267000
2,4,0,2,2,0.370239,0.007000
2,4,0,2,3,NaN,0.000000
2,4,0,3,0,NaN,0.000000
2,4,0,3,1,NaN,0.000000
2,4,0,3,2,0.178532,0.027000
2,4,0,3,3,0.174005,0.973000
2,4,1,0,0,0.645855,0.726000
2,4,1,0,1,0.657355,0.267000
2,4,1,0,2,0.370239,0.007000
2,4,1,0,3,NaN,0.000000
2,4,1,1,0,NaN,0.000000
2,4,1,1,1,NaN,0.000000
2,4,1,1,2,0.178532,0.027000
2,4,1,1,3,0.174005,0.973000
2,4,1,2,0,NaN,0.000000
2,4,1,2,1,NaN,0.000000
2,4,1,2,2,0.312320,0.030000
2,4,1,2,3,0.317623,0.970000
2,4,1,3,0,1.098021,0.002000
2,4,1,3,1,0.324389,0.022500
2,4,1,3,2,0.298865,0.945500
2,4,1,3,3,0.312320,0.030000
2,5,0,0,0,0.320067,0.076500
2,5,0,0,1,0.313630,0.906500
2,5,0,0,2,0.496666,0.016000
2,5,0,0,3,1.047974,0.001000
2,5,0,0,4,NaN,0.000000
2,5,0,1,0,NaN,0.000000
2,5,0,1,1,0.473276,0.008500
2,5,0,1,2,0.948042,0.561500
2,5,0,1,3,0.921127,0.403500
2,5,0,1,4,0.611893,0.026500
2,5,0,2,0,NaN,0.000000
2,5,0,2,1,NaN,0.000000
2,5,0,2,2,0.831008,0.012500
2,5,0,2,3,0.288801,0.058500
2,5,0,2,4,0.318556,0.929000
2,5,0,3,0,0.361964,0.923000
2,5,0,3,1,0.317376,0.075500
2,5,0,3,2,0.625568,0.001500
2,5,0,3,3,NaN,0.000000
2,5,0,3,4,NaN,0.000000
2,5,0,4,0,1.024656,0.000500
2,5,0,4,1,0.755417,0.009500
2,5,0,4,2,1.004209,0.408500
