nGroups,groupSize,whichGroup,testFrom,testTo,esspi,mean
2,3,0,0,0,1.112861,0.374500
2,3,0,0,1,0.693628,0.542500
2,3,0,0,2,0.399317,0.083000
2,3,0,1,0,0.730337,0.024500
2,3,0,1,1,0.275808,0.114500
2,3,0,1,2,0.279007,0.861000
2,3,0,2,0,1.186839,0.601000
2,3,0,2,1,0.937815,0.343000
2,3,0,2,2,0.470208,0.056000
2,3,1,0,0,1.186839,0.601000
2,3,1,0,1,0.937815,0.343000
2,3,1,0,2,0.470208,0.056000
2,3,1,1,0,0.819057,0.361000
2,3,1,1,1,1.011104,0.338000
2,3,1,1,2,0.975939,0.301000
2,3,1,2,0,1.112098,0.321000
2,3,1,2,1,0.939360,0.309500
2,3,1,2,2,0.756903,0.369500
2,4,0,0,0,1.047974,0.001000
2,4,0,0,1,0.388487,0.012000
2,4,0,0,2,0.339496,0.979500
2,4,0,0,3,0.438989,0.007500
2,4,0,1,0,0.763068,0.286500
2,4,0,1,1,0.786145,0.704000
2,4,0,1,2,0.439032,0.009500
2,4,0,1,3,NaN,0.000000
2,4,0,2,0,0.743253,0.712500
2,4,0,2,1,0.727234,0.284000
2,4,0,2,2,0.883905,0.003500
2,4,0,2,3,NaN,0.000000
2,4,0,3,0,NaN,0.000000
2,4,0,3,1,NaN,0.000000
2,4,0,3,2,0.438989,0.007500
2,4,0,3,3,0.428070,0.992500
2,4,1,0,0,0.743253,0.712500
2,4,1,0,1,0.727234,0.284000
2,4,1,0,2,0.883905,0.003500
2,4,1,0,3,NaN,0.000000
2,4,1,1,0,NaN,0.000000
2,4,1,1,1,NaN,0.000000
2,4,1,1,2,0.438989,0.007500
2,4,1,1,3,0.428070,0.992500
2,4,1,2,0,NaN,0.000000
2,4,1,2,1,0.523475,0.002000
2,4,1,2,2,0.417382,0.021000
2,4,1,2,3,0.426658,0.977000
2,4,1,3,0,1.024656,0.000500
2,4,1,3,1,0.681937,0.010000
2,4,1,3,2,0.443011,0.969000
2,4,1,3,3,0.439476,0.020500
2,5,0,0,0,0.562613,0.058000
2,5,0,0,1,0.532458,0.923000
2,5,0,0,2,0.527558,0.018000
2,5,0,0,3,0.512078,0.001000
2,5,0,0,4,NaN,0.000000
2,5,0,1,0,1.024656,0.000500
2,5,0,1,1,0.698224,0.011000
2,5,0,1,2,0.882679,0.562000
2,5,0,1,3,0.796241,0.410000
2,5,0,1,4,0.572993,0.016500
2,5,0,2,0,NaN,0.000000
2,5,0,2,1,0.625568,0.001500
2,5,0,2,2,0.525366,0.013000
2,5,0,2,3,0.366941,0.050500
2,5,0,2,4,0.312343,0.935000
2,5,0,3,0,0.501217,0.941000
2,5,0,3,1,0.514702,0.059000
2,5,0,3,2,NaN,0.000000
2,5,0,3,3,NaN,0.000000
2,5,0,3,4,NaN,0.000000
2,5,0,4,0,1.024656,0.000500
2,5,0,4,1,0.890819,0.005500
2,5,0,4,2,0.785471,0.407000
2,5,0,4,3,0.895529,0.538500
2,5,0,4,4,0.340664,0.048500
2,5,1,0,0,NaN,0.000000
2,5,1,0,1,0.625568,0.001500
2,5,1,0,2,0.525366,0.013000
2,5,1,0,3,0.366941,0.050500
2,5,1,0,4,0.312343,0.935000
2,5,1,1,0,0.501217,0.941000
2,5,1,1,1,0.514702,0.059000
2,5,1,1,2,NaN,0.000000
2,5,1,1,3,NaN,0.000000
2,5,1,1,4,NaN,0.000000
2,5,1,2,0,1.024656,0.000500
2,5,1,2,1,0.890819,0.005500
2,5,1,2,2,0.785471,0.407000
2,5,1,2,3,0.895529,0.538500
2,5,1,2,4,0.340664,0.048500
2,5,1,3,0,NaN,0.000000
2,5,1,3,1,0.553503,0.016500
2,5,1,3,2,0.812782,0.453500
2,5,1,3,3,0.824074,0.500500
