nGroups,groupSize,whichGroup,testFrom,testTo,esspi,mean
2,6,1,0,3,0.883905,0.003500
2,6,1,0,4,NaN,0.000000
2,6,1,0,5,NaN,0.000000
2,6,1,1,0,1.024656,0.000500
2,6,1,1,1,0.635065,0.004000
2,6,1,1,2,0.796227,0.054000
2,6,1,1,3,0.771510,0.931000
2,6,1,1,4,0.748483,0.008500
2,6,1,1,5,0.414921,0.002000
2,6,1,2,0,1.024656,0.000500
2,6,1,2,1,NaN,0.000000
2,6,1,2,2,0.512078,0.001000
2,6,1,2,3,1.047974,0.001000
2,6,1,2,4,0.764183,0.133000
2,6,1,2,5,0.691986,0.864500
2,6,1,3,0,0.512078,0.001000
2,6,1,3,1,NaN,0.000000
2,6,1,3,2,1.024656,0.000500
2,6,1,3,3,0.713225,0.008000
2,6,1,3,4,0.779382,0.858000
2,6,1,3,5,0.721801,0.132500
2,6,1,4,0,1.024656,0.000500
2,6,1,4,1,0.784401,0.009000
2,6,1,4,2,0.790395,0.719000
2,6,1,4,3,0.898387,0.271000
2,6,1,4,4,1.024656,0.000500
2,6,1,4,5,NaN,0.000000
2,6,1,5,0,0.762479,0.074500
2,6,1,5,1,0.880811,0.916000
2,6,1,5,2,0.572162,0.009500
2,6,1,5,3,NaN,0.000000
2,6,1,5,4,NaN,0.000000
2,6,1,5,5,NaN,0.000000
2,7,0,0,0,0.733377,0.992500
2,7,0,0,1,0.642677,0.007500
2,7,0,0,2,NaN,0.000000
2,7,0,0,3,NaN,0.000000
2,7,0,0,4,NaN,0.000000
2,7,0,0,5,NaN,0.000000
2,7,0,0,6,NaN,0.000000
2,7,0,1,0,0.592362,0.006000
2,7,0,1,1,0.399276,0.886000
2,7,0,1,2,0.373778,0.103000
2,7,0,1,3,0.723982,0.005000
2,7,0,1,4,NaN,0.000000
2,7,0,1,5,NaN,0.000000
2,7,0,1,6,NaN,0.000000
2,7,0,2,0,NaN,0.000000
2,7,0,2,1,0.635065,0.004000
2,7,0,2,2,0.395375,0.023000
2,7,0,2,3,0.322869,0.495000
2,7,0,2,4,0.350699,0.329500
2,7,0,2,5,0.452917,0.142500
2,7,0,2,6,0.807980,0.006000
2,7,0,3,0,1.024656,0.000500
2,7,0,3,1,NaN,0.000000
2,7,0,3,2,NaN,0.000000
2,7,0,3,3,0.667019,0.012500
2,7,0,3,4,0.479941,0.023500
2,7,0,3,5,0.563148,0.047000
2,7,0,3,6,0.340650,0.916500
2,7,0,4,0,1.047974,0.001000
2,7,0,4,1,0.409407,0.098500
2,7,0,4,2,0.357341,0.852000
2,7,0,4,3,0.289724,0.040500
2,7,0,4,4,0.709484,0.007000
2,7,0,4,5,1.047974,0.001000
2,7,0,4,6,NaN,0.000000
2,7,0,5,0,NaN,0.000000
2,7,0,5,1,0.489755,0.002500
2,7,0,5,2,0.651142,0.009500
2,7,0,5,3,0.577799,0.253500
2,7,0,5,4,0.530078,0.333500
2,7,0,5,5,0.854314,0.369000
2,7,0,5,6,0.654358,0.032000
2,7,0,6,0,NaN,0.000000
2,7,0,6,1,0.625568,0.001500
2,7,0,6,2,0.459953,0.012500
2,7,0,6,3,0.723847,0.193500
2,7,0,6,4,0.559904,0.306500
2,7,0,6,5,0.785245,0.440500
2,7,0,6,6,0.498164,0.045500
2,7,1,0,0,NaN,0.000000
2,7,1,0,1,0.635065,0.004000
2,7,1,0,2,0.395375,0.023000
2,7,1,0,3,0.322869,0.495000
2,7,1,0,4,0.350699,0.329500
2,7,1,0,5,0.452917,0.142500
2,7,1,0,6,0.807980,0.006000
2,7,1,1,0,1.024656,0.000500
2,7,1,1,1,NaN,0.000000
2,7,1,1,2,NaN,0.000000
2,7,1,1,3,0.667019,0.012500
2,7,1,1,4,0.479941,0.023500
2,7,1,1,5,0.563148,0.047000
2,7,1,1,6,0.340650,0.916500
2,7,1,2,0,1.047974,0.001000
2,7,1,2,1,0.409407,0.098500
2,7,1,2,2,0.357341,0.852000
2,7,1,2,3,0.289724,0.040500
2,7,1,2,4,0.709484,0.007000
2,7,1,2,5,1.047974,0.001000
2,7,1,2,6,NaN,0.000000
2,7,1,3,0,NaN,0.000000
2,7,1,3,1,0.489755,0.002500
2,7,1,3,2,0.651142,0.009500
2,7,1,3,3,0.577799,0.253500
2,7,1,3,4,0.530078,0.333500
2,7,1,3,5,0.854314,0.369000
2,7,1,3,6,0.654358,0.032000
2,7,1,4,0,NaN,0.000000
2,7,1,4,1,0.625568,0.001500
2,7,1,4,2,0.459953,0.012500
2,7,1,4,3,0.723847,0.193500
2,7,1,4,4,0.559904,0.306500
2,7,1,4,5,0.785245,0.440500
2,7,1,4,6,0.498164,0.045500
2,7,1,5,0,1.047974,0.001000
2,7,1,5,1,1.124922,0.002500
2,7,1,5,2,0.713990,0.033000
2,7,1,5,3,0.958700,0.332000
2,7,1,5,4,0.547165,0.401500
2,7,1,5,5,0.650102,0.223000
2,7,1,5,6,0.890887,0.007000
2,7,1,6,0,1.072402,0.001500
2,7,1,6,1,0.423796,0.084000
2,7,1,6,2,0.394689,0.784000
2,7,1,6,3,0.498192,0.086500
2,7,1,6,4,0.876246,0.028000
2,7,1,6,5,0.642337,0.015500
2,7,1,6,6,1.024656,0.000500
2,8,0,0,0,NaN,0.000000
2,8,0,0,1,1.024656,0.000500
2,8,0,0,2,0.233042,0.006500
2,8,0,0,3,0.894510,0.419500
2,8,0,0,4,0.733518,0.314500
2,8,0,0,5,0.986381,0.225000
2,8,0,0,6,0.750911,0.029500
2,8,0,0,7,1.247469,0.004500
2,8,0,1,0,NaN,0.000000
2,8,0,1,1,NaN,0.000000
2,8,0,1,2,NaN,0.000000
2,8,0,1,3,0.237962,0.003000
2,8,0,1,4,NaN,0.000000
2,8,0,1,5,0.651810,0.003000
2,8,0,1,6,0.327984,0.147500
2,8,0,1,7,0.326081,0.846500
2,8,0,2,0,NaN,0.000000
2,8,0,2,1,NaN,0.000000
2,8,0,2,2,NaN,0.000000
2,8,0,2,3,0.632210,0.005000
2,8,0,2,4,0.625474,0.027500
2,8,0,2,5,0.551287,0.110000
2,8,0,2,6,0.382984,0.720500
2,8,0,2,7,0.360865,0.137000
2,8,0,3,0,0.157505,0.026500
2,8,0,3,1,0.165656,0.971500
2,8,0,3,2,0.708959,0.002000
2,8,0,3,3,NaN,0.000000
2,8,0,3,4,NaN,0.000000
2,8,0,3,5,NaN,0.000000
2,8,0,3,6,NaN,0.000000
2,8,0,3,7,NaN,0.000000
2,8,0,4,0,0.156033,0.973000
2,8,0,4,1,0.172177,0.026500
2,8,0,4,2,NaN,0.000000
2,8,0,4,3,NaN,0.000000
2,8,0,4,4,NaN,0.000000
2,8,0,4,5,NaN,0.000000
2,8,0,4,6,NaN,0.000000
2,8,0,4,7,1.024656,0.000500
2,8,0,5,0,NaN,0.000000
2,8,0,5,1,NaN,0.000000
2,8,0,5,2,0.976280,0.004500
2,8,0,5,3,0.892043,0.382000
2,8,0,5,4,1.127002,0.328500
2,8,0,5,5,0.804606,0.229000
2,8,0,5,6,0.720043,0.050000
2,8,0,5,7,0.482181,0.006000
2,8,0,6,0,NaN,0.000000
2,8,0,6,1,NaN,0.000000
2,8,0,6,2,0.237962,0.003000
2,8,0,6,3,0.532086,0.179500
2,8,0,6,4,0.687662,0.327500
2,8,0,6,5,0.596918,0.432000
2,8,0,6,6,0.520101,0.052500
2,8,0,6,7,0.672362,0.005500
2,8,0,7,0,1.024656,0.000500
2,8,0,7,1,0.625568,0.001500
2,8,0,7,2,0.301869,0.984000
2,8,0,7,3,0.205316,0.011000
2,8,0,7,4,0.708959,0.002000
2,8,0,7,5,0.512078,0.001000
2,8,0,7,6,NaN,0.000000
2,8,0,7,7,NaN,0.000000
2,8,1,0,0,NaN,0.000000
2,8,1,0,1,NaN,0.000000
2,8,1,0,2,NaN,0.000000
2,8,1,0,3,0.632210,0.005000
2,8,1,0,4,0.625474,0.027500
2,8,1,0,5,0.551287,0.110000
2,8,1,0,6,0.382984,0.720500
2,8,1,0,7,0.360865,0.137000
2,8,1,1,0,0.157505,0.026500
2,8,1,1,1,0.165656,0.971500
2,8,1,1,2,0.708959,0.002000
2,8,1,1,3,NaN,0.000000
2,8,1,1,4,NaN,0.000000
2,8,1,1,5,NaN,0.000000
2,8,1,1,6,NaN,0.000000
2,8,1,1,7,NaN,0.000000
2,8,1,2,0,0.156033,0.973000
2,8,1,2,1,0.172177,0.026500
2,8,1,2,2,NaN,0.000000
2,8,1,2,3,NaN,0.000000
2,8,1,2,4,NaN,0.000000
2,8,1,2,5,NaN,0.000000
2,8,1,2,6,NaN,0.000000
2,8,1,2,7,1.024656,0.000500
2,8,1,3,0,NaN,0.000000
2,8,1,3,1,NaN,0.000000
2,8,1,3,2,0.976280,0.004500
2,8,1,3,3,0.892043,0.382000
2,8,1,3,4,1.127002,0.328500
2,8,1,3,5,0.804606,0.229000
2,8,1,3,6,0.720043,0.050000
2,8,1,3,7,0.482181,0.006000
2,8,1,4,0,NaN,0.000000
2,8,1,4,1,NaN,0.000000
2,8,1,4,2,0.237962,0.003000
2,8,1,4,3,0.532086,0.179500
2,8,1,4,4,0.687662,0.327500
2,8,1,4,5,0.596918,0.432000
2,8,1,4,6,0.520101,0.052500
2,8,1,4,7,0.672362,0.005500
2,8,1,5,0,1.024656,0.000500
2,8,1,5,1,0.625568,0.001500
2,8,1,5,2,0.301869,0.984000
2,8,1,5,3,0.205316,0.011000
2,8,1,5,4,0.708959,0.002000
2,8,1,5,5,0.512078,0.001000
2,8,1,5,6,NaN,0.000000
2,8,1,5,7,NaN,0.000000
2,8,1,6,0,0.101981,0.989500
2,8,1,6,1,0.114677,0.010000
2,8,1,6,2,NaN,0.000000
2,8,1,6,3,NaN,0.000000
