nGroups,groupSize,whichGroup,testFrom,testTo,esspi,mean
2,6,1,0,4,NaN,0.000000
2,6,1,0,5,NaN,0.000000
2,6,1,1,0,NaN,0.000000
2,6,1,1,1,0.672362,0.005500
2,6,1,1,2,0.362904,0.058500
2,6,1,1,3,0.312534,0.930500
2,6,1,1,4,0.846922,0.005000
2,6,1,1,5,1.024656,0.000500
2,6,1,2,0,NaN,0.000000
2,6,1,2,1,NaN,0.000000
2,6,1,2,2,1.024656,0.000500
2,6,1,2,3,1.024656,0.000500
2,6,1,2,4,0.277462,0.120500
2,6,1,2,5,0.270750,0.878500
2,6,1,3,0,NaN,0.000000
2,6,1,3,1,NaN,0.000000
2,6,1,3,2,1.024656,0.000500
2,6,1,3,3,0.755141,0.004000
2,6,1,3,4,0.275468,0.874500
2,6,1,3,5,0.275495,0.121000
2,6,1,4,0,NaN,0.000000
2,6,1,4,1,0.391013,0.007000
2,6,1,4,2,0.326416,0.731000
2,6,1,4,3,0.358013,0.261000
2,6,1,4,4,1.047974,0.001000
2,6,1,4,5,NaN,0.000000
2,6,1,5,0,0.283966,0.098500
2,6,1,5,1,0.246902,0.892500
2,6,1,5,2,0.391013,0.007000
2,6,1,5,3,0.708959,0.002000
2,6,1,5,4,NaN,0.000000
2,6,1,5,5,NaN,0.000000
2,7,0,0,0,0.218197,0.987000
2,7,0,0,1,0.210030,0.012000
2,7,0,0,2,0.512078,0.001000
2,7,0,0,3,NaN,0.000000
2,7,0,0,4,NaN,0.000000
2,7,0,0,5,NaN,0.000000
2,7,0,0,6,NaN,0.000000
2,7,0,1,0,0.210030,0.012000
2,7,0,1,1,0.136400,0.885000
2,7,0,1,2,0.112606,0.096000
2,7,0,1,3,0.442759,0.006500
2,7,0,1,4,1.024656,0.000500
2,7,0,1,5,NaN,0.000000
2,7,0,1,6,NaN,0.000000
2,7,0,2,0,1.024656,0.000500
2,7,0,2,1,0.237962,0.003000
2,7,0,2,2,0.335790,0.027500
2,7,0,2,3,0.197595,0.526500
2,7,0,2,4,0.173261,0.336500
2,7,0,2,5,0.326270,0.100000
2,7,0,2,6,0.343624,0.006000
2,7,0,3,0,NaN,0.000000
2,7,0,3,1,NaN,0.000000
2,7,0,3,2,1.024656,0.000500
2,7,0,3,3,0.807980,0.006000
2,7,0,3,4,0.555712,0.017000
2,7,0,3,5,0.260611,0.051000
2,7,0,3,6,0.288279,0.925500
2,7,0,4,0,1.024656,0.000500
2,7,0,4,1,0.112437,0.098000
2,7,0,4,2,0.153286,0.840500
2,7,0,4,3,0.182431,0.053000
2,7,0,4,4,0.533058,0.007500
2,7,0,4,5,1.024656,0.000500
2,7,0,4,6,NaN,0.000000
2,7,0,5,0,NaN,0.000000
2,7,0,5,1,0.255789,0.002000
2,7,0,5,2,0.209527,0.018000
2,7,0,5,3,0.262546,0.204000
2,7,0,5,4,0.202495,0.304500
2,7,0,5,5,0.212640,0.437500
2,7,0,5,6,0.419098,0.034000
2,7,0,6,0,NaN,0.000000
2,7,0,6,1,NaN,0.000000
2,7,0,6,2,0.299136,0.016500
2,7,0,6,3,0.324775,0.204000
2,7,0,6,4,0.223882,0.334000
2,7,0,6,5,0.205974,0.411000
2,7,0,6,6,0.480146,0.034500
2,7,1,0,0,1.024656,0.000500
2,7,1,0,1,0.237962,0.003000
2,7,1,0,2,0.335790,0.027500
2,7,1,0,3,0.197595,0.526500
2,7,1,0,4,0.173261,0.336500
2,7,1,0,5,0.326270,0.100000
2,7,1,0,6,0.343624,0.006000
2,7,1,1,0,NaN,0.000000
2,7,1,1,1,NaN,0.000000
2,7,1,1,2,1.024656,0.000500
2,7,1,1,3,0.807980,0.006000
2,7,1,1,4,0.555712,0.017000
2,7,1,1,5,0.260611,0.051000
2,7,1,1,6,0.288279,0.925500
2,7,1,2,0,1.024656,0.000500
2,7,1,2,1,0.112437,0.098000
2,7,1,2,2,0.153286,0.840500
2,7,1,2,3,0.182431,0.053000
2,7,1,2,4,0.533058,0.007500
2,7,1,2,5,1.024656,0.000500
2,7,1,2,6,NaN,0.000000
2,7,1,3,0,NaN,0.000000
2,7,1,3,1,0.255789,0.002000
2,7,1,3,2,0.209527,0.018000
2,7,1,3,3,0.262546,0.204000
2,7,1,3,4,0.202495,0.304500
2,7,1,3,5,0.212640,0.437500
2,7,1,3,6,0.419098,0.034000
2,7,1,4,0,NaN,0.000000
2,7,1,4,1,NaN,0.000000
2,7,1,4,2,0.299136,0.016500
2,7,1,4,3,0.324775,0.204000
2,7,1,4,4,0.223882,0.334000
2,7,1,4,5,0.205974,0.411000
2,7,1,4,6,0.480146,0.034500
2,7,1,5,0,1.024656,0.000500
2,7,1,5,1,1.072402,0.001500
2,7,1,5,2,0.628191,0.029500
2,7,1,5,3,0.317257,0.335000
2,7,1,5,4,0.263556,0.390500
2,7,1,5,5,0.195094,0.237500
2,7,1,5,6,0.339418,0.005500
2,7,1,6,0,1.098021,0.002000
2,7,1,6,1,0.168109,0.067500
2,7,1,6,2,0.199203,0.775000
2,7,1,6,3,0.273472,0.095500
2,7,1,6,4,0.362187,0.039500
2,7,1,6,5,0.420646,0.018500
2,7,1,6,6,0.414921,0.002000
2,8,0,0,0,NaN,0.000000
2,8,0,0,1,NaN,0.000000
2,8,0,0,2,0.454292,0.003000
2,8,0,0,3,0.122461,0.467000
2,8,0,0,4,0.142560,0.262000
2,8,0,0,5,0.197366,0.223500
2,8,0,0,6,0.252976,0.042000
2,8,0,0,7,0.304033,0.002500
2,8,0,1,0,NaN,0.000000
2,8,0,1,1,NaN,0.000000
2,8,0,1,2,NaN,0.000000
2,8,0,1,3,1.047974,0.001000
2,8,0,1,4,1.024656,0.000500
2,8,0,1,5,0.386956,0.005000
2,8,0,1,6,0.114855,0.124500
2,8,0,1,7,0.137506,0.869000
2,8,0,2,0,NaN,0.000000
2,8,0,2,1,NaN,0.000000
2,8,0,2,2,NaN,0.000000
2,8,0,2,3,0.699414,0.009500
2,8,0,2,4,0.365271,0.025000
2,8,0,2,5,0.198032,0.112000
2,8,0,2,6,0.165115,0.732000
2,8,0,2,7,0.139549,0.121500
2,8,0,3,0,0.253545,0.022500
2,8,0,3,1,0.265044,0.976000
2,8,0,3,2,1.072402,0.001500
2,8,0,3,3,NaN,0.000000
