nGroups,groupSize,whichGroup,testFrom,testTo,esspi,mean
1,3,0,0,0,0.902385,0.440000
1,3,0,0,1,1.118453,0.304500
1,3,0,0,2,1.447954,0.255500
1,3,0,1,0,0.647357,0.312000
1,3,0,1,1,0.886196,0.345000
1,3,0,1,2,1.112770,0.343000
1,3,0,2,0,1.113008,0.248000
1,3,0,2,1,0.836295,0.350500
1,3,0,2,2,1.172752,0.401500
1,4,0,0,0,1.190294,0.056000
1,4,0,0,1,0.550658,0.227500
1,4,0,0,2,0.770930,0.597500
1,4,0,0,3,1.044307,0.119000
1,4,0,1,0,0.625568,0.001500
1,4,0,1,1,0.455071,0.017500
1,4,0,1,2,0.677280,0.129000
1,4,0,1,3,0.725116,0.852000
1,4,0,2,0,1.222488,0.335000
1,4,0,2,1,1.793808,0.450000
1,4,0,2,2,0.504990,0.191000
1,4,0,2,3,0.645434,0.024000
1,4,0,3,0,1.523682,0.607500
1,4,0,3,1,0.942904,0.305000
1,4,0,3,2,0.927329,0.082500
1,4,0,3,3,0.723982,0.005000
1,5,0,0,0,0.608815,0.133000
1,5,0,0,1,0.810488,0.222500
1,5,0,0,2,0.566770,0.299000
1,5,0,0,3,0.649985,0.301000
1,5,0,0,4,0.672077,0.044500
1,5,0,1,0,0.928064,0.208500
1,5,0,1,1,1.006022,0.282500
1,5,0,1,2,0.771054,0.272000
1,5,0,1,3,0.749746,0.210000
1,5,0,1,4,0.590837,0.027000
1,5,0,2,0,0.736763,0.464500
1,5,0,2,1,0.774883,0.234000
1,5,0,2,2,0.611641,0.165000
1,5,0,2,3,0.759674,0.117500
1,5,0,2,4,0.505262,0.019000
1,5,0,3,0,0.735455,0.194000
1,5,0,3,1,0.768517,0.253500
1,5,0,3,2,0.545038,0.235500
1,5,0,3,3,0.587273,0.267500
1,5,0,3,4,0.419376,0.049500
1,5,0,4,0,NaN,0.000000
1,5,0,4,1,0.829201,0.007500
1,5,0,4,2,0.492438,0.028500
1,5,0,4,3,0.432903,0.104000
1,5,0,4,4,0.382382,0.860000
1,6,0,0,0,NaN,0.000000
1,6,0,0,1,0.557047,0.006500
1,6,0,0,2,0.674077,0.060000
1,6,0,0,3,0.367596,0.216000
1,6,0,0,4,0.420867,0.603000
1,6,0,0,5,0.546165,0.114500
1,6,0,1,0,0.495051,0.124500
1,6,0,1,1,0.896842,0.596500
1,6,0,1,2,1.310176,0.198500
1,6,0,1,3,0.675674,0.070000
1,6,0,1,4,0.783455,0.008000
1,6,0,1,5,0.478690,0.002500
1,6,0,2,0,0.535532,0.858000
1,6,0,2,1,0.562863,0.124500
1,6,0,2,2,0.765567,0.016000
1,6,0,2,3,1.072402,0.001500
1,6,0,2,4,NaN,0.000000
1,6,0,2,5,NaN,0.000000
1,6,0,3,0,NaN,0.000000
1,6,0,3,1,NaN,0.000000
1,6,0,3,2,1.047974,0.001000
1,6,0,3,3,0.363497,0.024500
1,6,0,3,4,0.618440,0.121000
1,6,0,3,5,0.486715,0.853500
1,6,0,4,0,0.632210,0.005000
1,6,0,4,1,0.728563,0.117000
1,6,0,4,2,0.437239,0.375000
1,6,0,4,3,0.699456,0.361000
1,6,0,4,4,0.623292,0.128500
1,6,0,4,5,0.588468,0.013500
1,6,0,5,0,0.517749,0.012500
1,6,0,5,1,0.881315,0.155500
1,6,0,5,2,0.586524,0.349500
1,6,0,5,3,0.457289,0.327000
1,6,0,5,4,0.307701,0.139500
1,6,0,5,5,0.252105,0.016000
1,7,0,0,0,0.445611,0.014500
1,7,0,0,1,0.387467,0.115500
1,7,0,0,2,0.751184,0.247000
1,7,0,0,3,0.556523,0.235500
1,7,0,0,4,0.494105,0.211000
1,7,0,0,5,0.522595,0.119000
1,7,0,0,6,0.447563,0.057500
1,7,0,1,0,0.258553,0.009500
1,7,0,1,1,0.569109,0.085500
1,7,0,1,2,0.565643,0.162000
1,7,0,1,3,0.430708,0.229500
1,7,0,1,4,0.856921,0.221500
1,7,0,1,5,0.508472,0.173000
1,7,0,1,6,0.388490,0.119000
1,7,0,2,0,0.206699,0.562000
1,7,0,2,1,0.238412,0.296000
1,7,0,2,2,0.302245,0.084000
1,7,0,2,3,0.244454,0.038000
1,7,0,2,4,0.790564,0.010000
1,7,0,2,5,0.351561,0.007000
1,7,0,2,6,0.348642,0.003000
1,7,0,3,0,1.024656,0.000500
1,7,0,3,1,0.586810,0.021500
1,7,0,3,2,0.442956,0.073500
1,7,0,3,3,0.491745,0.140000
1,7,0,3,4,0.409841,0.198500
1,7,0,3,5,0.514682,0.274000
1,7,0,3,6,0.301806,0.292000
1,7,0,4,0,0.516006,0.018500
1,7,0,4,1,0.445859,0.118000
1,7,0,4,2,0.565827,0.250500
1,7,0,4,3,0.688496,0.242000
1,7,0,4,4,0.338586,0.182000
1,7,0,4,5,0.455455,0.129500
1,7,0,4,6,0.472024,0.059500
1,7,0,5,0,0.292444,0.003500
1,7,0,5,1,0.709484,0.007000
1,7,0,5,2,0.372970,0.034500
1,7,0,5,3,0.319837,0.058000
1,7,0,5,4,0.252359,0.145500
1,7,0,5,5,0.336056,0.283500
1,7,0,5,6,0.217255,0.468000
1,7,0,6,0,0.217337,0.391500
1,7,0,6,1,0.327377,0.356500
1,7,0,6,2,0.468438,0.148500
1,7,0,6,3,0.447404,0.057000
1,7,0,6,4,0.265205,0.031500
1,7,0,6,5,0.415803,0.014000
1,7,0,6,6,0.512078,0.001000
1,8,0,0,0,NaN,0.000000
1,8,0,0,1,0.846922,0.005000
1,8,0,0,2,0.198136,0.066000
1,8,0,0,3,0.566061,0.109500
1,8,0,0,4,0.643511,0.171000
1,8,0,0,5,0.515906,0.274500
1,8,0,0,6,0.320024,0.359000
1,8,0,0,7,0.124501,0.015000
1,8,0,1,0,NaN,0.000000
1,8,0,1,1,0.203586,0.024000
1,8,0,1,2,0.366308,0.081500
1,8,0,1,3,0.486056,0.130500
1,8,0,1,4,0.529460,0.205500
1,8,0,1,5,0.669879,0.251000
1,8,0,1,6,0.359207,0.284000
1,8,0,1,7,0.078564,0.023500
1,8,0,2,0,NaN,0.000000
1,8,0,2,1,0.421667,0.020500
1,8,0,2,2,0.421398,0.117500
1,8,0,2,3,0.549907,0.203500
1,8,0,2,4,0.301673,0.249000
1,8,0,2,5,0.650571,0.211500
1,8,0,2,6,0.482061,0.195000
