nGroups,groupSize,whichGroup,testFrom,testTo,esspi,mean
1,3,0,0,0,0.317792,0.425500
1,3,0,0,1,0.358520,0.391500
1,3,0,0,2,0.298292,0.183000
1,3,0,1,0,0.717055,0.139000
1,3,0,1,1,0.479319,0.237000
1,3,0,1,2,0.364049,0.624000
1,3,0,2,0,0.552304,0.435500
1,3,0,2,1,0.568321,0.371500
1,3,0,2,2,1.194232,0.193000
1,4,0,0,0,1.053683,0.048500
1,4,0,0,1,0.767530,0.166000
1,4,0,0,2,0.334754,0.470500
1,4,0,0,3,0.190795,0.315000
1,4,0,1,0,0.116490,0.007000
1,4,0,1,1,0.246949,0.045500
1,4,0,1,2,0.175932,0.312500
1,4,0,1,3,0.161881,0.635000
1,4,0,2,0,0.396389,0.630500
1,4,0,2,1,0.437729,0.279000
1,4,0,2,2,0.453294,0.070000
1,4,0,2,3,0.280384,0.020500
1,4,0,3,0,0.467773,0.314000
1,4,0,3,1,0.535150,0.509500
1,4,0,3,2,0.896259,0.147000
1,4,0,3,3,0.919400,0.029500
1,5,0,0,0,0.441696,0.350000
1,5,0,0,1,0.552179,0.383500
1,5,0,0,2,0.659567,0.216500
1,5,0,0,3,0.508917,0.047500
1,5,0,0,4,0.775808,0.002500
1,5,0,1,0,0.806461,0.255000
1,5,0,1,1,0.526252,0.315500
1,5,0,1,2,0.650436,0.320500
1,5,0,1,3,0.670824,0.095000
1,5,0,1,4,0.526519,0.014000
1,5,0,2,0,0.353528,0.369000
1,5,0,2,1,0.340249,0.237000
1,5,0,2,2,0.444077,0.250000
1,5,0,2,3,0.546328,0.119000
1,5,0,2,4,0.579038,0.025000
1,5,0,3,0,0.814535,0.025500
1,5,0,3,1,0.630558,0.060000
1,5,0,3,2,0.721072,0.179500
1,5,0,3,3,1.033525,0.542000
1,5,0,3,4,0.770127,0.193000
1,5,0,4,0,1.024656,0.000500
1,5,0,4,1,0.547938,0.004000
1,5,0,4,2,0.932881,0.033500
1,5,0,4,3,0.647306,0.196500
1,5,0,4,4,0.644832,0.765500
1,6,0,0,0,1.047974,0.001000
1,6,0,0,1,0.688489,0.024000
1,6,0,0,2,0.597042,0.289000
1,6,0,0,3,0.875230,0.451000
1,6,0,0,4,0.852002,0.212500
1,6,0,0,5,0.479531,0.022500
1,6,0,1,0,0.526127,0.407500
1,6,0,1,1,0.423199,0.516000
1,6,0,1,2,0.407481,0.064000
1,6,0,1,3,0.226868,0.012500
1,6,0,1,4,NaN,0.000000
1,6,0,1,5,NaN,0.000000
1,6,0,2,0,0.561878,0.580500
1,6,0,2,1,0.565690,0.362500
1,6,0,2,2,1.016841,0.047500
1,6,0,2,3,0.604796,0.008000
1,6,0,2,4,0.625568,0.001500
1,6,0,2,5,NaN,0.000000
1,6,0,3,0,NaN,0.000000
1,6,0,3,1,1.024656,0.000500
1,6,0,3,2,NaN,0.000000
1,6,0,3,3,0.849375,0.006500
1,6,0,3,4,0.395850,0.107500
1,6,0,3,5,0.369545,0.885500
1,6,0,4,0,0.255789,0.002000
1,6,0,4,1,1.124922,0.002500
1,6,0,4,2,0.695208,0.088500
1,6,0,4,3,0.553697,0.239500
1,6,0,4,4,0.627250,0.586000
1,6,0,4,5,0.660065,0.081500
1,6,0,5,0,0.951295,0.009000
1,6,0,5,1,0.574950,0.094500
1,6,0,5,2,0.600372,0.511000
1,6,0,5,3,0.439344,0.282500
1,6,0,5,4,0.579032,0.092500
1,6,0,5,5,0.864792,0.010500
1,7,0,0,0,0.512078,0.001000
1,7,0,0,1,0.539586,0.041000
1,7,0,0,2,0.403722,0.141500
1,7,0,0,3,0.528511,0.276500
1,7,0,0,4,0.789368,0.315000
1,7,0,0,5,0.339183,0.172500
1,7,0,0,6,0.453906,0.052500
1,7,0,1,0,0.651142,0.009500
1,7,0,1,1,0.361141,0.072500
1,7,0,1,2,0.529546,0.173000
1,7,0,1,3,0.468179,0.352000
1,7,0,1,4,0.484632,0.237500
1,7,0,1,5,0.359373,0.116000
1,7,0,1,6,0.388054,0.039500
1,7,0,2,0,0.358228,0.732000
1,7,0,2,1,0.303261,0.197000
1,7,0,2,2,0.521610,0.060000
1,7,0,2,3,0.545255,0.009000
1,7,0,2,4,0.708959,0.002000
1,7,0,2,5,NaN,0.000000
1,7,0,2,6,NaN,0.000000
1,7,0,3,0,0.145951,0.003500
1,7,0,3,1,0.341219,0.001500
1,7,0,3,2,0.574063,0.007500
1,7,0,3,3,0.245673,0.029500
1,7,0,3,4,0.333881,0.088500
1,7,0,3,5,0.291526,0.223500
1,7,0,3,6,0.256617,0.646000
1,7,0,4,0,0.486991,0.077500
1,7,0,4,1,0.591878,0.286500
1,7,0,4,2,0.535122,0.348000
1,7,0,4,3,0.507055,0.168000
1,7,0,4,4,0.361550,0.077500
1,7,0,4,5,0.296274,0.031000
1,7,0,4,6,0.569257,0.011500
1,7,0,5,0,0.145951,0.003500
1,7,0,5,1,0.523475,0.002000
1,7,0,5,2,0.667326,0.009000
1,7,0,5,3,0.242411,0.074500
1,7,0,5,4,0.267924,0.221500
1,7,0,5,5,0.262764,0.442500
1,7,0,5,6,0.231426,0.247000
1,7,0,6,0,0.418255,0.173000
1,7,0,6,1,0.472033,0.399500
1,7,0,6,2,0.668345,0.261000
1,7,0,6,3,0.521942,0.090500
1,7,0,6,4,0.337547,0.058000
1,7,0,6,5,0.335490,0.014500
1,7,0,6,6,0.587071,0.003500
1,8,0,0,0,NaN,0.000000
1,8,0,0,1,0.632910,0.012500
1,8,0,0,2,0.557228,0.037000
1,8,0,0,3,0.702160,0.077500
1,8,0,0,4,0.504008,0.198500
1,8,0,0,5,0.484951,0.542000
1,8,0,0,6,0.291254,0.109500
1,8,0,0,7,0.387654,0.023000
1,8,0,1,0,1.047974,0.001000
1,8,0,1,1,0.502973,0.037500
1,8,0,1,2,0.485629,0.103500
1,8,0,1,3,0.651336,0.196500
1,8,0,1,4,0.458536,0.405000
1,8,0,1,5,0.622986,0.230000
1,8,0,1,6,0.715189,0.024500
1,8,0,1,7,0.536379,0.002000
1,8,0,2,0,NaN,0.000000
1,8,0,2,1,1.024656,0.000500
1,8,0,2,2,1.024656,0.000500
1,8,0,2,3,NaN,0.000000
1,8,0,2,4,0.246340,0.023000
1,8,0,2,5,0.441310,0.105000
1,8,0,2,6,0.215665,0.565000
1,8,0,2,7,0.170093,0.306000
1,8,0,3,0,0.218376,0.004000
