nGroups,groupSize,whichGroup,testFrom,testTo,esspi,mean
1,3,0,0,0,0.440045,0.721000
1,3,0,0,1,0.445530,0.251500
1,3,0,0,2,0.961884,0.027500
1,3,0,1,0,0.482615,0.245000
1,3,0,1,1,0.650741,0.550500
1,3,0,1,2,0.961609,0.204500
1,3,0,2,0,1.076030,0.034000
1,3,0,2,1,1.122274,0.198000
1,3,0,2,2,1.008510,0.768000
1,4,0,0,0,0.341219,0.001500
1,4,0,0,1,0.828457,0.050500
1,4,0,0,2,1.032834,0.211500
1,4,0,0,3,0.831619,0.736500
1,4,0,1,0,0.170359,0.003000
1,4,0,1,1,0.418692,0.251500
1,4,0,1,2,0.538960,0.568500
1,4,0,1,3,1.016603,0.177000
1,4,0,2,0,0.042498,0.978500
1,4,0,2,1,0.043597,0.021500
1,4,0,2,2,NaN,0.000000
1,4,0,2,3,NaN,0.000000
1,4,0,3,0,0.059816,0.017000
1,4,0,3,1,0.356275,0.676500
1,4,0,3,2,0.516694,0.220000
1,4,0,3,3,0.517928,0.086500
1,5,0,0,0,0.867134,0.013500
1,5,0,0,1,0.346186,0.301000
1,5,0,0,2,0.324535,0.494500
1,5,0,0,3,0.171132,0.188000
1,5,0,0,4,0.673291,0.003000
1,5,0,1,0,0.560045,0.902500
1,5,0,1,1,0.595699,0.092000
1,5,0,1,2,1.214348,0.004000
1,5,0,1,3,1.072402,0.001500
1,5,0,1,4,NaN,0.000000
1,5,0,2,0,0.633481,0.075000
1,5,0,2,1,0.525244,0.500500
1,5,0,2,2,0.626042,0.284000
1,5,0,2,3,0.561194,0.133000
1,5,0,2,4,0.829201,0.007500
1,5,0,3,0,0.784401,0.009000
1,5,0,3,1,0.486329,0.106000
1,5,0,3,2,0.333074,0.213000
1,5,0,3,3,0.222492,0.553500
1,5,0,3,4,0.104940,0.118500
1,5,0,4,0,NaN,0.000000
1,5,0,4,1,1.024656,0.000500
1,5,0,4,2,0.590906,0.004500
1,5,0,4,3,0.094522,0.124000
1,5,0,4,4,0.098413,0.871000
1,6,0,0,0,NaN,0.000000
1,6,0,0,1,0.106368,0.341000
1,6,0,0,2,0.099295,0.427000
1,6,0,0,3,0.113722,0.191500
1,6,0,0,4,0.258634,0.039000
1,6,0,0,5,1.072402,0.001500
1,6,0,1,0,0.499422,0.999000
1,6,0,1,1,NaN,0.000000
1,6,0,1,2,0.512078,0.001000
