nGroups,groupSize,whichGroup,testFrom,testTo,esspi,mean
1,3,0,0,0,0.984583,0.142500
1,3,0,0,1,1.471575,0.264000
1,3,0,0,2,0.920468,0.593500
1,3,0,1,0,0.302654,0.426500
1,3,0,1,1,0.265278,0.401000
1,3,0,1,2,0.505097,0.172500
1,3,0,2,0,0.302630,0.431000
1,3,0,2,1,0.389696,0.335000
1,3,0,2,2,0.944112,0.234000
1,4,0,0,0,NaN,0.000000
1,4,0,0,1,0.771991,0.046000
1,4,0,0,2,0.389605,0.213000
1,4,0,0,3,0.394332,0.741000
1,4,0,1,0,NaN,0.000000
1,4,0,1,1,0.178833,0.165000
1,4,0,1,2,0.192097,0.633500
1,4,0,1,3,0.360765,0.201500
1,4,0,2,0,0.229549,0.994000
1,4,0,2,1,0.235396,0.006000
1,4,0,2,2,NaN,0.000000
1,4,0,2,3,NaN,0.000000
1,4,0,3,0,0.235396,0.006000
1,4,0,3,1,0.228734,0.783000
1,4,0,3,2,0.254838,0.153500
1,4,0,3,3,0.675357,0.057500
1,5,0,0,0,0.902241,0.325500
1,5,0,0,1,0.682935,0.505500
1,5,0,0,2,0.412454,0.134000
1,5,0,0,3,0.640405,0.027500
1,5,0,0,4,0.678438,0.007500
1,5,0,1,0,0.672586,0.612500
1,5,0,1,1,0.560952,0.319000
1,5,0,1,2,0.485128,0.060500
1,5,0,1,3,0.491547,0.005500
1,5,0,1,4,0.775808,0.002500
1,5,0,2,0,0.485988,0.009000
1,5,0,2,1,0.960991,0.021500
1,5,0,2,2,0.847344,0.163500
1,5,0,2,3,0.826860,0.332500
1,5,0,2,4,0.695632,0.473500
1,5,0,3,0,0.453822,0.028000
1,5,0,3,1,0.378185,0.072000
1,5,0,3,2,0.804725,0.334000
1,5,0,3,3,1.026830,0.298500
1,5,0,3,4,0.660003,0.267500
1,5,0,4,0,0.528929,0.025000
1,5,0,4,1,0.651445,0.082000
1,5,0,4,2,0.746942,0.308000
1,5,0,4,3,1.083488,0.336000
1,5,0,4,4,1.000142,0.249000
1,6,0,0,0,NaN,0.000000
1,6,0,0,1,NaN,0.000000
1,6,0,0,2,1.102866,0.025500
1,6,0,0,3,0.465817,0.209500
1,6,0,0,4,0.583324,0.622000
1,6,0,0,5,0.403952,0.143000
1,6,0,1,0,0.220614,0.842500
1,6,0,1,1,0.264308,0.128000
1,6,0,1,2,0.937021,0.025500
1,6,0,1,3,0.931210,0.004000
1,6,0,1,4,NaN,0.000000
1,6,0,1,5,NaN,0.000000
1,6,0,2,0,0.222838,0.145500
1,6,0,2,1,0.235860,0.727000
1,6,0,2,2,0.446188,0.112500
1,6,0,2,3,0.756831,0.014000
1,6,0,2,4,1.047974,0.001000
1,6,0,2,5,NaN,0.000000
1,6,0,3,0,NaN,0.000000
1,6,0,3,1,1.024656,0.000500
1,6,0,3,2,0.931210,0.004000
1,6,0,3,3,0.448618,0.028500
1,6,0,3,4,0.534649,0.157000
1,6,0,3,5,0.398508,0.810000
1,6,0,4,0,NaN,0.000000
1,6,0,4,1,0.949794,0.016000
1,6,0,4,2,1.365690,0.200500
1,6,0,4,3,1.153820,0.557000
1,6,0,4,4,0.868600,0.185000
1,6,0,4,5,0.580560,0.041500
1,6,0,5,0,0.762032,0.012000
1,6,0,5,1,0.478138,0.128500
1,6,0,5,2,0.762596,0.632000
1,6,0,5,3,0.967403,0.187000
1,6,0,5,4,0.980605,0.035000
1,6,0,5,5,1.063607,0.005500
1,7,0,0,0,0.523994,0.048500
1,7,0,0,1,0.327532,0.147000
1,7,0,0,2,0.448526,0.287500
1,7,0,0,3,0.483317,0.244500
1,7,0,0,4,0.416876,0.148000
1,7,0,0,5,0.609200,0.078500
1,7,0,0,6,0.506469,0.046000
1,7,0,1,0,0.641197,0.016000
1,7,0,1,1,0.365042,0.143000
1,7,0,1,2,0.208651,0.273500
1,7,0,1,3,0.207287,0.321000
1,7,0,1,4,0.439881,0.161500
1,7,0,1,5,0.530134,0.058500
1,7,0,1,6,0.462892,0.026500
1,7,0,2,0,0.336571,0.299000
1,7,0,2,1,0.472982,0.399500
1,7,0,2,2,0.365298,0.201000
1,7,0,2,3,0.492094,0.070000
1,7,0,2,4,0.334219,0.022500
1,7,0,2,5,0.621901,0.007500
1,7,0,2,6,1.024656,0.000500
1,7,0,3,0,0.304033,0.002500
1,7,0,3,1,0.421978,0.013000
1,7,0,3,2,0.547421,0.054500
1,7,0,3,3,0.526705,0.121000
1,7,0,3,4,0.590619,0.229500
1,7,0,3,5,0.490076,0.291500
1,7,0,3,6,0.460488,0.288000
1,7,0,4,0,1.072402,0.001500
1,7,0,4,1,0.287213,0.026500
1,7,0,4,2,0.460511,0.086500
1,7,0,4,3,0.451946,0.152000
1,7,0,4,4,0.701921,0.260000
1,7,0,4,5,0.486665,0.240000
1,7,0,4,6,0.335896,0.233500
1,7,0,5,0,0.170359,0.003000
1,7,0,5,1,0.356420,0.004500
1,7,0,5,2,0.379951,0.025500
1,7,0,5,3,0.507775,0.070500
1,7,0,5,4,0.246909,0.168500
1,7,0,5,5,0.331477,0.322500
1,7,0,5,6,0.243854,0.405500
1,7,0,6,0,0.337055,0.629500
1,7,0,6,1,0.431696,0.266500
1,7,0,6,2,0.381278,0.071500
1,7,0,6,3,0.359210,0.021000
1,7,0,6,4,0.244750,0.010000
1,7,0,6,5,0.625568,0.001500
1,7,0,6,6,NaN,0.000000
1,8,0,0,0,NaN,0.000000
1,8,0,0,1,0.415358,0.008000
1,8,0,0,2,0.501426,0.079500
1,8,0,0,3,0.434442,0.244000
1,8,0,0,4,0.362944,0.508500
1,8,0,0,5,0.377010,0.128500
1,8,0,0,6,0.628176,0.024000
1,8,0,0,7,0.678438,0.007500
1,8,0,1,0,NaN,0.000000
1,8,0,1,1,1.047974,0.001000
1,8,0,1,2,1.072402,0.001500
1,8,0,1,3,0.497920,0.018000
1,8,0,1,4,0.333130,0.083000
1,8,0,1,5,0.338299,0.304500
1,8,0,1,6,0.137740,0.329500
1,8,0,1,7,0.147875,0.262500
1,8,0,2,0,NaN,0.000000
1,8,0,2,1,NaN,0.000000
1,8,0,2,2,0.304033,0.002500
1,8,0,2,3,0.645546,0.019000
1,8,0,2,4,0.542378,0.090500
1,8,0,2,5,0.383918,0.377500
1,8,0,2,6,0.289784,0.298000
1,8,0,2,7,0.156614,0.212500
1,8,0,3,0,0.386118,0.021000
1,8,0,3,1,0.111130,0.242000
1,8,0,3,2,0.219673,0.427000
1,8,0,3,3,0.330619,0.244000
1,8,0,3,4,0.630638,0.057000
1,8,0,3,5,0.636069,0.006000
1,8,0,3,6,0.348642,0.003000
1,8,0,3,7,NaN,0.000000
1,8,0,4,0,0.671392,0.504500
1,8,0,4,1,0.268223,0.326000
1,8,0,4,2,0.253388,0.120000
1,8,0,4,3,0.470827,0.030000
1,8,0,4,4,0.515563,0.016000
1,8,0,4,5,1.047974,0.001000
1,8,0,4,6,0.401758,0.002500
1,8,0,4,7,NaN,0.000000
1,8,0,5,0,NaN,0.000000
1,8,0,5,1,1.024656,0.000500
1,8,0,5,2,NaN,0.000000
1,8,0,5,3,0.170359,0.003000
1,8,0,5,4,0.364576,0.006000
1,8,0,5,5,0.094293,0.147000
1,8,0,5,6,0.061249,0.331000
1,8,0,5,7,0.070734,0.512500
1,8,0,6,0,0.694965,0.468500
1,8,0,6,1,0.239848,0.314000
1,8,0,6,2,0.185238,0.133000
1,8,0,6,3,0.243374,0.050000
1,8,0,6,4,0.277957,0.029000
1,8,0,6,5,1.024656,0.000500
1,8,0,6,6,0.229127,0.004500
1,8,0,6,7,1.024656,0.000500
1,8,0,7,0,0.711792,0.006000
