nGroups,groupSize,whichGroup,testFrom,testTo,esspi,mean
1,3,0,0,0,0.292497,0.240000
1,3,0,0,1,0.361591,0.547500
1,3,0,0,2,0.865160,0.212500
1,3,0,1,0,0.221826,0.711500
1,3,0,1,1,0.189891,0.252000
1,3,0,1,2,0.253609,0.036500
1,3,0,2,0,0.569124,0.048500
1,3,0,2,1,0.689001,0.200500
1,3,0,2,2,0.781511,0.751000
1,4,0,0,0,NaN,0.000000
1,4,0,0,1,1.024656,0.000500
1,4,0,0,2,1.072402,0.001500
1,4,0,0,3,1.070857,0.998000
1,4,0,1,0,1.072402,0.001500
1,4,0,1,1,0.507016,0.103000
1,4,0,1,2,0.531487,0.894000
1,4,0,1,3,1.072402,0.001500
1,4,0,2,0,0.038500,0.883500
1,4,0,2,1,0.038653,0.116500
1,4,0,2,2,NaN,0.000000
1,4,0,2,3,NaN,0.000000
1,4,0,3,0,0.038681,0.115000
1,4,0,3,1,0.081617,0.780000
1,4,0,3,2,0.507504,0.104500
1,4,0,3,3,1.024656,0.000500
1,5,0,0,0,1.472751,0.167000
1,5,0,0,1,0.591650,0.658000
1,5,0,0,2,0.485708,0.143500
1,5,0,0,3,0.663667,0.024000
1,5,0,0,4,1.243802,0.007500
1,5,0,1,0,1.184391,0.823500
1,5,0,1,1,0.898642,0.157000
1,5,0,1,2,0.725753,0.013500
1,5,0,1,3,0.775808,0.002500
1,5,0,1,4,0.390410,0.003500
1,5,0,2,0,0.708959,0.002000
1,5,0,2,1,0.884925,0.085000
1,5,0,2,2,0.766237,0.407000
1,5,0,2,3,0.933383,0.310500
1,5,0,2,4,1.029035,0.195500
1,5,0,3,0,0.829201,0.007500
1,5,0,3,1,0.316875,0.083500
1,5,0,3,2,0.688192,0.284500
1,5,0,3,3,0.342488,0.292000
1,5,0,3,4,0.256650,0.332500
1,5,0,4,0,NaN,0.000000
1,5,0,4,1,0.487215,0.016500
1,5,0,4,2,0.444207,0.151500
1,5,0,4,3,0.358411,0.371000
1,5,0,4,4,0.274975,0.461000
1,6,0,0,0,NaN,0.000000
1,6,0,0,1,0.063645,0.326000
1,6,0,0,2,0.081225,0.419000
1,6,0,0,3,0.057441,0.195000
1,6,0,0,4,0.117968,0.056500
1,6,0,0,5,0.269871,0.003500
1,6,0,1,0,0.747928,0.968000
1,6,0,1,1,0.687463,0.028500
1,6,0,1,2,0.502668,0.003500
1,6,0,1,3,NaN,0.000000
1,6,0,1,4,NaN,0.000000
1,6,0,1,5,NaN,0.000000
1,6,0,2,0,0.803806,0.024500
1,6,0,2,1,0.126501,0.450500
1,6,0,2,2,0.226614,0.271000
1,6,0,2,3,0.433636,0.150000
1,6,0,2,4,0.731148,0.069500
1,6,0,2,5,0.687616,0.034500
1,6,0,3,0,NaN,0.000000
1,6,0,3,1,1.184550,0.011500
1,6,0,3,2,0.402893,0.045000
1,6,0,3,3,0.505342,0.133500
1,6,0,3,4,0.908432,0.289000
1,6,0,3,5,0.631486,0.521000
1,6,0,4,0,0.543487,0.007000
1,6,0,4,1,0.237628,0.140000
1,6,0,4,2,0.255696,0.157000
1,6,0,4,3,0.532474,0.240500
1,6,0,4,4,0.310537,0.248000
1,6,0,4,5,0.420945,0.207500
1,6,0,5,0,1.024656,0.000500
1,6,0,5,1,0.553755,0.043500
1,6,0,5,2,0.435199,0.104500
1,6,0,5,3,0.372636,0.281000
1,6,0,5,4,0.787855,0.337000
1,6,0,5,5,0.833760,0.233500
1,7,0,0,0,0.499385,0.285500
1,7,0,0,1,0.364088,0.435000
1,7,0,0,2,0.537004,0.189500
1,7,0,0,3,0.550566,0.063000
1,7,0,0,4,0.501328,0.022500
1,7,0,0,5,0.680437,0.004500
1,7,0,0,6,NaN,0.000000
1,7,0,1,0,0.791557,0.025000
1,7,0,1,1,0.576960,0.104500
1,7,0,1,2,1.048439,0.244000
1,7,0,1,3,0.603932,0.362500
1,7,0,1,4,0.619503,0.192500
1,7,0,1,5,0.494823,0.062500
1,7,0,1,6,0.460937,0.009000
1,7,0,2,0,0.368366,0.633500
1,7,0,2,1,0.431740,0.244500
1,7,0,2,2,0.655556,0.076500
1,7,0,2,3,0.344896,0.037500
1,7,0,2,4,0.589459,0.007000
1,7,0,2,5,0.512078,0.001000
1,7,0,2,6,NaN,0.000000
1,7,0,3,0,NaN,0.000000
1,7,0,3,1,NaN,0.000000
1,7,0,3,2,0.708959,0.002000
1,7,0,3,3,0.484087,0.009500
1,7,0,3,4,0.420015,0.042500
1,7,0,3,5,0.217938,0.153500
1,7,0,3,6,0.192320,0.792500
