index_0,sample,value
0,0,0.716029982772403
1,0,0.5367251991267445
2,0,0.6116235877922636
3,0,0.5187525709435794
0,1,0.8721268119828951
1,1,0.7547494990184898
2,1,0.04911016830690168
3,1,0.27272773235554926
0,2,0.6661120090404448
1,2,0.3198066902609551
2,2,0.9987907106134291
3,2,0.4642065392270701
0,3,0.6938136264884842
1,3,0.8863605527662306
2,3,0.6632734047599391
3,3,0.5529217810318267
0,4,0.05009468784033095
1,4,0.858021760293164
2,4,0.7424439206562404
3,4,0.9267026486217177
0,5,0.8423540502883745
1,5,0.7353195416619085
2,5,0.15146775500305343
3,5,0.0017496432913457613
0,6,0.3061540214485437
1,6,0.39365408781639655
2,6,0.004991028671406328
3,6,0.37088235315680107
0,7,0.9596687622650073
1,7,0.8531624486792233
2,7,0.08367107591427825
3,7,0.15398760715759904
0,8,0.6833935674899699
1,8,0.9459190420916836
2,8,0.9910967292286594
3,8,0.04006269359553899
0,9,0.9885482954131202
1,9,0.5417383966637259
2,9,0.7607324292913975
3,9,0.36308270793240394
0,10,0.7932988286613623
1,10,0.29899964191907635
2,10,0.6804615116848993
3,10,0.7991376180129883
0,11,0.6715873218236487
1,11,0.621095534328884
2,11,0.14213343262391143
3,11,0.06781679652310402
0,12,0.11472637646345138
1,12,0.7642172058040323
2,12,0.8472433008031219
3,12,0.7902567741798918
0,13,0.9580464711970235
1,13,0.815289521637935
2,13,0.9048235381699659
3,13,0.13132983067647674
0,14,0.5823325788687838
1,14,0.3346567445328317
2,14,0.414777059344847
3,14,0.9587713968158551
0,15,0.21757207483952165
1,15,0.051628768058563645
2,15,0.4804337514010648
3,15,0.913810269269695
0,16,0.38735679282092267
1,16,0.49713709284552965
2,16,0.3684372178331803
3,16,0.802738310377128
0,17,0.8377578846645448
1,17,0.29634770936860527
2,17,0.43412378785346184
3,17,0.8106170985835222
0,18,0.6823310653005185
1,18,0.3593512566915549
2,18,0.6224720205288761
3,18,0.1709725398182833
0,19,0.9591586205132562
1,19,0.4969133153293903
2,19,0.18636985375112836
3,19,0.054064938855457934
0,20,0.17951008590020412
1,20,0.769868145604284
2,20,0.1976467640876961
3,20,0.8711247471496097
0,21,0.6023507791696199
1,21,0.9077199201539038
2,21,0.4687250743460458
3,21,0.9646135385305701
0,22,0.1369282618389783
1,22,0.8877558306474044
2,22,0.7205303235845
3,22,0.6286703493716999
0,23,0.17270270593182446
1,23,0.8837992283070437
2,23,0.8336746196653722
3,23,0.34522309751826963
0,24,0.596241398161463
1,24,0.7474323718967238
2,24,0.3343608615350995
3,24,0.6802898705925648
0,25,0.772707042511792
1,25,0.2092250348721818
2,25,0.2571968413579888
3,25,0.2521381221100453
0,26,0.3744770351276229
1,26,0.5135177750840019
2,26,0.8941689018470897
3,26,0.6525825993116046
0,27,0.7687560395189352
1,27,0.6909919842607268
2,27,0.842333458049737
3,27,0.6064633719024815
0,28,0.8292751866314702
1,28,0.26328174106144564
2,28,0.2784985245248198
3,28,0.7149796574746017
0,29,0.3898735892523255
1,29,0.404214211081558
2,29,0.9704054141351964
3,29,0.5103166866356339
0,30,0.5255715137810597
1,30,0.6037528067306497
2,30,0.6236121917125734
3,30,0.36354442615625615
0,31,0.8577682019642976
1,31,0.17186326677590924
2,31,0.2435585926256194
3,31,0.06151796051439745
0,32,0.7869760467192419
1,32,0.2942724258808289
2,32,0.22579295057642912
3,32,0.872019516704999
0,33,0.39321186350855625
